Title,Price,Image
Extreme Machines NAS Server Case with Cooling - Support 6 Hard Drives Model EM2 DIY NAS Support Upto 72TB Storage,"4,400",https://m.media-amazon.com/images/I/71MYmo25aAL._AC_UY218_.jpg
"Dell PowerEdge T40 Tower Server, Intel Quad-Core Xeon E-2224G Processor 3.5GHz, 16GB DDR4 RAM, 1TB 7.2K RPM HDD, 3 Yr. Warranty","63,990",https://m.media-amazon.com/images/I/81tc1fsNCVL._AC_UY218_.jpg
CHIST Mini Server Intel xeon E3 1225 v2 Processor / 16 GB RAM 1 TB HDD/Windows 10/ HDMI/WiFi Ready to use,"18,650",https://m.media-amazon.com/images/I/41qekEMQIsL._AC_UY218_.jpg
"HPE Proliant DL360 Gen10 Rack Server, Intel Xeon Silver 4210 (2nd Gen, 10Core, 2.2GHz) Processor with 16GB RAM & 1.2TB 10K RPM SAS Hard Disks, 3 Year Warranty by HPE","3,01,900",https://m.media-amazon.com/images/I/71eO3XKI5yL._AC_UY218_.jpg
"HPE Proliant DL360 Gen10 Rack Server, Intel Xeon Silver 4208 (2nd Gen, 8Core,2.1GHz) Processor with 64GB RAM, Open Bay. 3 Year Warranty by HPE","3,09,500",https://m.media-amazon.com/images/I/31-90JtletL._AC_UY218_.jpg
"Lenovo ThinkSystem ST50 Tower Server, Intel Xeon E-2224G 4 Core 3.5GHz 71W, 1x8GB RAM, 1x1TB 7200 SATA HDD, Software RAID 0,1,5, 3 Year Warranty","55,000",https://m.media-amazon.com/images/I/51HYkfLoL1L._AC_UY218_.jpg
"HPE Proliant DL380 Gen10 Rack Server with Intel Xeon Silver 4210 (2nd Gen,10Core, 2.2GHz) Processor, 16GB RAM, Opne Bay. 3 Years Warranty by HPE","2,83,900",https://m.media-amazon.com/images/I/71qp9Q5WenL._AC_UY218_.jpg
"Synology DiskStation DS918+ NAS Server for Business with Celeron CPU, 8GB Memory, 256GB SSD, 8TB HDD, Synology DSM Operating System","1,12,499",https://m.media-amazon.com/images/I/61Hzhxl8RYL._AC_UY218_.jpg
LaCie 8TB 2big NAS Server,"39,990",https://m.media-amazon.com/images/I/61e-+6NxszL._AC_UY218_.jpg
"Kuro RenderEdge Compute Server - IX18- Dual Intel Xeon E5 (36-Cores & 72-Threads), 32GB DDR4 ECC RAM, 500GB SSD, Win 10 Pro/Linux Ubuntu (2X Intel Xeon E5)","2,75,999",https://m.media-amazon.com/images/I/21SZLIoIQPL._AC_UY218_.jpg
Dell PowerEdge T40 / Intel E2224G / 8GB / 1TB / DVD RW/Raid 5 Support / 3year Warranty/ DOS,"59,250",https://m.media-amazon.com/images/I/71jkboEtvDL._AC_UY218_.jpg
"Electrobot Ultra Gaming Tower PC - Intel 11th Gen i7 11700K, B560 Chipset, RTX 3060 12GB, 16GB (8GBx2) RAM,512GB Nvme SSD, 360mm Liquid Cooler","99,999",https://m.media-amazon.com/images/I/51jrrBwdIfL._AC_UY218_.jpg
"Synology DiskStation DS120j NAS Server, Marvell Armada 3700 88F3720, 512MB DDR3L Memory, 2TB SATA, Synology DSM Software","23,699",https://m.media-amazon.com/images/I/41gk+nwCRAL._AC_UY218_.jpg
"Synology DiskStation DS918+ NAS Server for Business with Celeron CPU, 8GB Memory, 256GB SSD, 16TB HDD, Synology DSM Operating System","1,27,499",https://m.media-amazon.com/images/I/61Hzhxl8RYL._AC_UY218_.jpg
"Kuro RenderEdge Compute Server - IX14- Intel Xeon E5 14-Cores & 28-Threads, 32GB DDR4 ECC RAM, 500GB SSD, Win 10 Pro/Linux Ubuntu (Single Socket) (E5-2680 v4 [14C])","1,79,999",https://m.media-amazon.com/images/I/21SZLIoIQPL._AC_UY218_.jpg
"VERGEENO DiskStation DS1821+ with 32GB DDR4 Memory - 128TB (8x16TB) NAS Server(Ryzen V1500B, 500GB X 2 - R&W NVMe SSD, Intel X550T2 Dual 10G RJ45 LAN Included) - 8 Bay",,https://m.media-amazon.com/images/I/41XsrNAeCQL._AC_UY218_.jpg
"VERGEENO - PS 2U Rack Mount Server Chassis Barebone - (Model-2003) - (Upto Ext. ATX 12"" * 13"", Hotswap 4 x 80mm Fans, Six 3.5 Inch Drive Bay)","27,999",https://m.media-amazon.com/images/I/31CnLTPSjAL._AC_UY218_.jpg
Western Digital My Cloud Expert Series 4-Bay 24TB Network Attached Storage,"1,19,999",https://m.media-amazon.com/images/I/41MbErrc1lL._AC_UY218_.jpg
"Dell PowerEdge T40, Intel Xeon E-2224G Processor, 32GB RAM, 2 TB SATA,800 GB SSD, DVD-RW, DOS, 3 Years Warranty. Servermart Mousepad.","99,800",https://m.media-amazon.com/images/I/71JuWJun1tL._AC_UY218_.jpg
